status,data.forests.id,data.forests.name,data.forests.short_desc,data.forests.location_desc,data.forests.total_surface,data.forests.reforested_surface,data.forests.occupied_surface,data.forests.main_image,data.forests.available,data.forests.offset_type,data.forests.timeline_formula,data.forests.co2_years,data.forests.co2_sqm,data.forests.forest_slug,data.forests.captured_co2,data.forests.coordinates
200,1,Génesis,"Génesis, our first forest. Crowdfunded in 2017.","Picos de Europa, Spain",40000,40000,40000,https://s3.eu-central-1.amazonaws.com/reforestum-static-images/forests/headers/IMG_4658.jpg,FALSE,SQM-SHARES,"if(y<20){r = 0.0000672*(Math.pow(Math.E,(0.3722*y)))}else if(y<50){r=0.0274*(Math.pow(Math.E,0.0748*y));}else{r=0.6197*(Math.pow(Math.E,0.0122*y));}return (r*1000);",25,0.17777551020000000000,genesis,39883.901253724,
200,5,Calahorra de Boedo,"Calahorra de Boedo, Reforestum's first project focused on helping companies achieve their environmental goals","Boedo-Ojeda county, north of Palencia, Spain",220000,220000,220000,https://statics.reforestum.com/forests/galleries/calahorra/tinified/_1072633.jpg,FALSE,SQM-SHARES,return (22.88908544779504 / (1 + Math.exp(-0.15174041769597124*(y - 27.287818981781026))));,40,0.01998192499000000000,calahorra,0,
200,6,ACR Forest,"This forest covers an area of 2.12 hectares and contains more than 1750 trees of 10 different species, generating numerous environmental benefits: regulation of the hydrological cycle, enhancement of the biodiversity of the area. The fact that this forest mass houses different autochthonous species allows the ecosystemic benefits to be multiplied. This increase in biodiversity results in a better preserved ecosystem, which will also help to mitigate possible diseases.","Fresno del Río, Palencia, Spain",20000,20000,20000,https://statics.reforestum.com/forests/galleries/ACR/main/FRESNO1.jpg,FALSE,SQM-SHARES,return (21.90292305405437 / (1 + Math.exp(-0.19792327177817856*(y - 20.820152461475885))));,40,0.02146226415000000000,acr,0,
200,7,Bosque Kiehl's,"The Kiehl's forest is an afforestation project that will sequester more than 5,000 tons of CO2 in a 40 years span. It extends over an area of 10.14 hectares with 11,000 trees of 12 different species.","Santa Cruz de Boedo, Palencia, Spain",101400,101400,101400,https://statics.reforestum.com/forests/galleries/santa-cruz-de-boedo/tinified/_1944300.jpg,FALSE,SQM-SHARES,return (55.435503028539 / (1 + Math.exp(-0.1774397873487207*(y - 30.155250983520485))));,40,0.04720641026000000000,santa-cruz-de-boedo,0,
200,9,Galeries Lafayette Forest,"This forest, located in Loire Atlantique, France, is focused on helping Galeries Lafayette achieve their environmental goals, one part of which consists of reducing its greenhouse gas emissions linked to the transport of goods by 30% between 2019 and 2024, and to participate in afforestation projects for the remaining emissions. This project is planned to sequester more than 890 tons of carbon dioxide over 30 years, and extends over an area of 3.3 hectares with trees of 5 different species.","Loire Atlantique, France",33200,33200,33200,https://statics.reforestum.com/forests/galleries/GL/header.jpg,FALSE,SQM-SHARES,return (27.351921932309804 / (1 + Math.exp(-0.2711337588739806*(y - 15.629951965717938))));,30,0.02680722892000000000,galeries-lafayette,0,
200,11,Bosque Urbaser,"The Urbaser forest is an afforestation project that extends over an area of more than 5 hectares, has 4,200 trees of 7 different species and will absorb 1,518 tonnes of CO2 over 50 years.","Arganda del Rey, Madrid, Spain",50000,50000,50000,https://statics.reforestum.com/forests/galleries/arganda/main/P2033362.jpg,FALSE,SQM-SHARES,return (31.227855739460423 / (1 + Math.exp(-0.13677809655010148*(y - 32.44237234356166))));,50,0.02863411782141069400,urbaser,0,
200,12,Cragg Estate,"Cragg Estate is Reforestum's first project developed in the United Kingdom to support companies achieve their environmental goals. It spans 6.46 hectares and is expected to sequester 2,823 tons of CO2 equivalent over the 100 years of permanence of the project.","Hexham, Northumberland, United Kingdom",64600,64600,64600,https://statics.reforestum.com/forests/galleries/cragg-estate/main/image4.jpg,FALSE,SQM-SHARES,return (43.70466191225396 / (1 + Math.exp(-0.13086499531638499*(y - 30.605099675025407))));,100,0.04369969040000000000,cragg-estate,0,
200,14,Balenciaga Forest I,"Balenciaga Forest I in Fresno del Río is an afforestation project that will absorb more than 4,500 tons of CO2 over 40 years. It was started by Balenciaga with the aim of involving its customers in the protection of our planet.","Fresno del Río, Palencia, Spain",324282,324282,324282,https://statics.reforestum.com/forests/galleries/fresno-del-rio-balenciaga/2/_1148992.jpg,FALSE,SQM-SHARES,return (15.308856585593793 / (1 + Math.exp(-0.15986343234370676*(y - 25.718741584879865))));,40,0.01389222961271691800,balenciaga,0,
200,15,Bosque CBRE,The CBRE Forest will absorb about 570 tonnes of CO2 over 40 years and complements CBRE's initiatives to reduce energy consumption and purchase renewable energy.,"Pomar de Valdivia, Palencia, Spain",10100,10100,10100,https://statics.reforestum.com/forests/galleries/bosque-cbre/main/_1147724.jpg,FALSE,SQM-SHARES,"return (64.54291357199081 / (1 + Math.exp(-0.19677474135314585*(y - 29.698583849512172))));
",40,0.05760100000000000000,cbre,0,
200,16,Quintanilla,"We boost the fight against climate change through Collaborative Reforestation with this project that will capture 4,110 t of CO2 over 40 years.","Pomar de Valdivia, Palencia, Spain",75600,75600,71093,https://reforestum-static-images.s3.eu-central-1.amazonaws.com/forests/galleries/quintanilla1/main/_1147732.jpg,FALSE,SQM-SHARES,"return (42.79666453408103 / (1 + Math.exp(-0.18855792393641976*(y - 27.912937133824197))));
",40,0.03882223350000000000,quintanilla1,0,
200,21,Bosque Digital Realty Spain (Interxion),In Spain Digital Realty registers an exclusive corporate forest in the MITECO registry as part of its climate neutrality initiatives.,"Pomar de Valdivia, Palencia, Spain",10100,10100,10100,https://reforestum-static-images.s3.eu-central-1.amazonaws.com/forests/galleries/quintanilla-interxion/main/6.jpg,FALSE,SQM-SHARES,return (58.08900503135297 / (1 + Math.exp(-0.19664984632507582*(y - 29.69997827123382))));,40,0.05131881188000000000,interxion-2023,0,
200,22,Bosque corporativo ALL FOR PADEL,ALL FOR PADEL Corporate Forest,"Quintanilla de las Torres, Palencia",68000,68000,68000,https://s3.amazonaws.com/users.uploads.reforestum/Logo+adidas+padel+800x800.png,FALSE,SQM-SHARES,return (55.878979603262835 / (1 + Math.exp(-0.14071898688845935*(y - 32.49242263102341))));,40,0.04146000000000000000,afp-quintanilla,0,
200,23,Balenciaga Forest II,"Balenciaga Forest II in Quintanilla de las Torres is an afforestation project that will absorb more than 9,200 tons of CO2 over 40 years. It was implemented by Balenciaga with the aim of involving its customers in the protection of our planet.","Quintanilla de las Torres, Palencia, Spain.",212000,212000,212000,https://reforestum-static-images.s3.eu-central-1.amazonaws.com/forests/galleries/quintanilla2/balenciaga/bal-lamata-main/_1149211.jpg,FALSE,SQM-SHARES,return (53.002349204327764 / (1 + Math.exp(-0.14534401880528766*(y - 33.5890865700594))));,40,0.03803000000000000000,balenciaga-quintanilla,0,
