description,id,lat,location,long,name,slug,species_price_from,status,url
Ce projet a pour but de lutter contre la désertification et la pauvreté. Les produits issus de la plantation réduisent la malnutrition et génèrent de hauts revenus offrant à la population locale de nouvelles opportunités de développement.,1,12.995,Niger,3.341,Dosso,dosso,3,inactive,https://tree-nation.com/projects/dosso
"El objetivo del proyecto es regenerar y mejorar el suelo, al mismo tiempo que reforestar la región de ""Río Blanco"". El proyecto tiene también un efecto positivo sobre la población local al augmentar la cantidad de agua potable disponible.",2,13.15,Nicaragua,-85.279999,Rio Blanco,rio-blanco,3,inactive,https://tree-nation.com/projects/rio-blanco
"This afforestation and reforestation project is located in the Orinoco River basin of Colombia. The plantation is designed to provide long-term economic sustainability for the adjacent natural reserve, dedicated to the conservation of local flora & fauna. We use natural farming techniques to do so.",3,6.08824,Colombia,-67.723885,La Pedregoza,la-pedregoza,2,active,https://tree-nation.com/projects/la-pedregoza
"The Sacred Seeds project is creating and planting a botanical garden in the Orinoco River basin to conserve the traditional medicinal trees and plants of this region.

 The project is being done with indigenous guidance as well as a knowledge sharing  agreement with Missouri Botanical Gardens in the USA.",4,6.08,Colombia,-67.703705,Sacred Seeds Garden,sacred-seeds,2,active,https://tree-nation.com/projects/sacred-seeds
Alamanga lutte contre la déforestation et préserve l'environnement grâce à une économie sociale et solidaire. Il s'attaque directement aux causes de la déforestation en gèrant durablement ses forêts et crée des revenus pour pérénniser l'implication des populations locales.,5,-21.887999,Madagascar,46.929661,Alamanga,alamanga,1,inactive,https://tree-nation.com/projects/alamanga
"Lots of recent research indicates clearly that we need to conserve our vulnerable tropical forests if we are to have any hope of stopping complete and irreversible Climate Breakdown. Since 2007, this unique project has been working closely with ordinary Kenyan subsistence farmers to find ways to help them grow new food and timber crops that improve bio-diversity and reduce the stress on their threatened  and critically important tropical forest.",6,-3.0939,Kenya,39.918999,Bore,bore,1,active,https://tree-nation.com/projects/bore
A community-based reforestation initiative that regroups small-scale farming families to develop ecosystem services for the voluntary carbon market. Participants reforest and maintain under-utilized portions of their land in exchange for payments for ecosystem services.,7,13.15,Nicaragua,-86.347,CommuniTree,limay,13,active,https://tree-nation.com/projects/limay
"La région des Hauts-de-France, terre d'industrie et de grandes cultures, est la moins boisée de notre pays. Le taux de boisement n'y est que de 15% environ, contre 32% de moyenne nationale. 
Canopée Reforestation rassemble citoyens, écoles, agriculteurs, collectivités et entreprises pour reboiser notre territoire. Chaque hiver, plus de 1 200 personnes se mobilisent avec nous pour planter des arbres !",8,49.663612,France,2.528073,Ne perdons pas le Nord...,les-hauts-de-france,5,inactive,https://tree-nation.com/projects/les-hauts-de-france
"Para recuperar los bosques autóctonos y poner el valor el patrimonio local se quiere regenerar la conectividad de la biodiversidad, las culturas del norte peninsular y la calidad del suelo, reforestando espacios naturales protegidos azotados por incendios forestales hace unos años.",10,42.59,Spain,-6.631,Oso Pardo,oso-pardo,5,inactive,https://tree-nation.com/projects/oso-pardo
"Le projet « Planter pour la Planète » a été lancé par Madame Wangari Maathaï. Au Burkina, nous plantons dans la province du Sanguié en suivant les conseils de l’agroforesterie afin de faire reculer le désert.",11,12.442,Burkina Faso,-2.684,Agroforestry to Stop the Desert,dassa,3,active,https://tree-nation.com/projects/dassa
