,country,description_reported,host_name,planting_date_reported,project_id_reported,site_id_reported,site_sqkm,trees_planted_reported,url,geometry_reported,Top_Three_NDVI_Months,survival_rate_reported,species_count_reported,species_planted_reported,intersecting_roads_count,total_road_length_km,built_area,loss_pre_5,loss_post_3,loss_post_5,tree_cover_area_2000,tree_cover_area_2005,tree_cover_area_2010,tree_cover_area_2015,tree_cover_area_2020,cropland gain from trees,cropland loss to tree,permanent water,short vegetation after tree loss
0,,"Rivas is known for its fertile soil and beautiful beaches. Throughout the department, there are many sugar cane, plantain, tobacco, and other crop plantations. The department borders Lake Cocibolca to the East and the Pacific Ocean to the West.",Tree Nation,2022-12-22 11:22:35+00:00,7,1026,25354.4178647968,83600,https://tree-nation.com/projects,"{""type"":""Polygon"",""coordinates"":[[[-86.17215015865574,11.502014810923704],[-86.15772943180514,11.480481870275588],[-86.12133869624762,11.470725293171022],[-86.10331946745613,11.452532192265643],[-86.08786864996564,11.441763501998542],[-86.08683863253042,11.436376861231158],[-86.0727657010102,11.42392706209082],[-86.07310903263489,11.415851642557767],[-86.0672720837897,11.412485043148973],[-86.06315187536696,11.413492723444625],[-86.03488564502938,11.394760072432671],[-86.0324822062875,11.380285808827843],[-86.01153776122048,11.370524854443742],[-86.00192397810807,11.355716202075847],[-85.99505694319696,11.354035150321385],[-85.99608700194382,11.347636339714075],[-85.96931012060429,11.342254180831006],[-85.93326276272863,11.311954551472216],[-85.93703512631309,11.306906897336043],[-85.92982926182327,11.303201367486556],[-85.92364890451715,11.307580161575144],[-85.90276248320366,11.285752926761592],[-85.90482257287563,11.274306338587218],[-85.8835348577259,11.257468784581356],[-85.88113135576071,11.260835430701334],[-85.8756422402758,11.25848105052267],[-85.8746121375668,11.252082194063902],[-85.8814747087994,11.242990122428475],[-85.87117867968179,11.241304570858125],[-85.84389786639227,11.211691691213893],[-85.84183779756854,11.206305116294313],[-85.8349707337067,11.204958440576759],[-85.80819390172609,11.165553400316895],[-85.79995347808723,11.155110146950468],[-85.80132681533318,11.14803799478179],[-85.7942145918365,11.14270941340884],[-85.7935279130703,11.137991626071608],[-85.79902148324763,11.129572914795745],[-85.7715534534137,11.10733976043403],[-85.76571650819153,11.109020892555137],[-85.75987954296954,11.105988699492928],[-85.75884943707047,11.099589902043046],[-85.74683662295384,11.095545472358678],[-85.74305978891641,11.087461134785233],[-85.71936858390366,11.088807810306225],[-85.71112813988157,11.080384524782737],[-85.69327833830324,11.077691215886867],[-85.65172178293457,11.148581986847512],[-85.6101651609292,11.219472791383602],[-85.56107047186381,11.211054000990284],[-85.5229451592617,11.167270101671626],[-85.4736788275084,11.148408126709105],[-85.42441244385523,11.129546085392626],[-85.3580565124108,11.126228511575057],[-85.29282431998642,11.094053897475343],[-85.22759215008382,11.061879294891481],[-85.18467778184541,11.046040504318038],[-85.17575063612394,11.087483396147938],[-85.1760940175948,11.099277763944647],[-85.18193093893227,11.103991046604353],[-85.18948470494935,11.091862287156015],[-85.20665219025963,11.089168991049645],[-85.22690547285593,11.103317680825533],[-85.25952379693514,11.104329900518485],[-85.29282431998642,11.131615128307791],[-85.31273865870827,11.138691780028372],[-85.32646826243978,11.139699496734739],[-85.34397912031989,11.151828258977794],[-85.34981611174463,11.149130513224625],[-85.36252007771314,11.1550611430784],[-85.38689357249562,11.155395532906558],[-85.4057778443129,11.161459932845132],[-85.4188251692167,11.158762129569542],[-85.42740896595335,11.160786556396284],[-85.43839172614128,11.161459906010023],[-85.44972226669863,11.172237519901179],[-85.4589927247087,11.174930869058848],[-85.46173951897393,11.1796485653886],[-85.46826324467467,11.183354115780286],[-85.48028046287598,11.177624109610328],[-85.48988984176646,11.191099518458762],[-85.497398967505,11.188067351284065],[-85.51333138025942,11.205261662300567],[-85.5232885609265,11.202568383273771],[-85.5521255259016,11.244662244955387],[-85.58096701568765,11.244327838334437],[-85.58714727140863,11.252407751061016],[-85.60602717600544,11.253754377733394],[-85.61873110917527,11.26251203192125],[-85.63967550095116,11.261160969346303],[-85.64757259615696,11.27328525659641],[-85.6534095563156,11.271938574419927],[-85.68705350373122,11.29685160810145],[-85.69186035946711,11.307624788778249],[-85.70387766910959,11.317051287381348],[-85.70490767135219,11.325131196643662],[-85.71383038697466,11.332537762217179],[-85.72310084202397,11.333211139685353],[-85.75022555057132,11.370573872436523],[-85.75606248795212,11.369227232634742],[-85.7667018929378,11.388749208412877],[-85.7694487014364,11.404904539853026],[-85.77892431155406,11.4077315886885],[-85.77892431155406,11.433304515483517],[-85.79059822801742,11.444746604749325],[-85.78785142692213,11.48915923512188],[-85.83591607463146,11.568549073686805],[-85.85995064745079,11.633121329392427],[-85.86887774180254,11.672125108764485],[-85.9224360020105,11.6593497909013],[-85.97599428125459,11.6465744688611],[-85.99796427923854,11.668762926945643],[-86.0288658254224,11.61765266992908],[-86.08379751576962,11.59209315544204],[-86.10714091885976,11.598148588184575],[-86.13323555616832,11.570569086268794],[-86.17031298852609,11.514727707775146],[-86.16459646011913,11.510424694775956],[-86.16596980172794,11.506389233557675],[-86.17215015865574,11.502014810923704]]]}","[9, 1, 2]",,,,293,849.3645527,2753816.518,2090395.80331888,2747906.15781824,2747906.15781824,999.0597931,1014.377802,1007.365382,995.4234327,985.3583013,3.557123257,0.8317869277,11.54213762,37.62972126
1,,Former rubber tree plantations which will be restored using the framework species method.,Tree Nation,2021-11-20 07:53:02+00:00,203,804,0.694511231156746,18000,https://tree-nation.com/projects,"{""type"":""Polygon"",""coordinates"":[[[98.80167547617796,8.04916788496317],[98.80174678037308,8.04853913509982],[98.8019340382827,8.047839091052289],[98.80286604620969,8.048409871457647],[98.80293735149985,8.048436606882284],[98.80295072124906,8.048449999724125],[98.80295517783264,8.048467786773772],[98.80296409100058,8.048485642968181],[98.80320491509558,8.048632846850687],[98.80404772123119,8.049101047482546],[98.80349030607053,8.04921248484268],[98.80324056788831,8.049239273642684],[98.80295072124906,8.049274917236056],[98.8023309222806,8.049346240927129],[98.80209464152016,8.049368537363833],[98.80200097027212,8.04938192096178],[98.8019295817578,8.04938197018764],[98.80169775873189,8.049426503905773],[98.80169775873189,8.04935521909375],[98.80168884570956,8.049279345910465],[98.80167547617796,8.04916788496317]]]}","[4, 3, 2]",,,,0,0,38.6,0,0,0,0.006465169818,0.003461748469,0.003461748469,0.003461748469,0.003461748469,0,0,0,0
2,,From plam farms that encroach on natural forests to parks and green spaces for the public good,Tree Nation,2022-03-13 07:12:00+00:00,203,895,32.2636743721532,5000,https://tree-nation.com/projects,"{""type"":""Polygon"",""coordinates"":[[[98.98397684193048,7.876672064938464],[98.98401704416874,7.876034347230774],[98.98434253977497,7.875994245729433],[98.98500693593503,7.87508010294636],[98.98528338302444,7.874634217008304],[98.98599237309948,7.874206168962588],[98.98734353433925,7.874803650496065],[98.98820408887026,7.873827139017829],[98.98715178620034,7.873483816699686],[98.98725874367616,7.872591945279404],[98.98895322566912,7.872614249609422],[98.9894794294092,7.870959915366752],[98.98889970362087,7.871428140895753],[98.98793656581937,7.871321118780166],[98.98825761044652,7.8708351092970075],[98.98874807206249,7.869854112243564],[98.9876778936377,7.869452764674835],[98.9857694434124,7.869046961352545],[98.986692435412,7.866772820235461],[98.98754860000761,7.867009167250238],[98.98805692579427,7.865403908605829],[98.98919403319209,7.865658052237059],[98.98955967094149,7.8641107721420145],[98.98958192280944,7.8626838568019535],[98.98934566560771,7.862621387880992],[98.98979601307175,7.860601445965686],[98.98913157656759,7.860280410568472],[98.98881052838337,7.860409701943995],[98.98840030673203,7.860325000040044],[98.98852960175824,7.859517851937939],[98.99121399643282,7.857109946173289],[98.99260520085632,7.8575781335844175],[98.99273458706453,7.859277061722842],[98.99286388919397,7.85985232211369],[98.99352827283772,7.860044037957113],[98.99365757626762,7.861190033377968],[98.99222176375628,7.861212358266467],[98.99219942685362,7.861444187669772],[98.99370216661298,7.861595829058214],[98.99359511610976,7.862465366282558],[98.99318495387226,7.862550075851612],[98.9927568398279,7.863740685303524],[98.99282376673739,7.865270124076523],[98.99190070299694,7.865354832001494],[98.99190070299694,7.865698181450687],[98.99286388919397,7.865675875273814],[98.99290847909087,7.866375998968202],[98.99314474696124,7.86671485811211],[98.99299319153528,7.8678429969518024],[98.99264979060705,7.869073705269761],[98.99226188590677,7.870308925203143],[98.99146812858152,7.871156093820308],[98.99082163148903,7.871704636140843],[98.99069671571233,7.872534015707749],[98.99028648425264,7.873042330038477],[98.99020177471417,7.87347036440308],[98.99033107269301,7.873724535411989],[98.99058528628626,7.8739787368093],[98.98955520371118,7.875659821950246],[98.98921181774604,7.876061133692418],[98.98925648986605,7.876886104877871],[98.98910485762184,7.87773773546165],[98.9889131052012,7.878883773645653],[98.98833338357484,7.879735421396009],[98.9874728276332,7.880328497242072],[98.98725874367616,7.8801145002707536],[98.98768682788594,7.879650695438081],[98.98841817539318,7.877991942762912],[98.98852513458627,7.877438987401567],[98.98839583956739,7.876993088501706],[98.98751741448318,7.87631083716992],[98.98719637286885,7.876547160196428],[98.98635799600733,7.877269562849338],[98.98597012224418,7.878223818734996],[98.98631340981278,7.878839184742381],[98.9872141569724,7.880136742188941],[98.98745049207508,7.88039093984469],[98.98622870454098,7.8798424233037245],[98.9855420473525,7.87945901470035],[98.9857337915776,7.878437868412508],[98.98432020510343,7.8776708552024575],[98.98427562006107,7.877376553337644],[98.98427562006107,7.876841507625691],[98.98397684193048,7.876672064938464]]]}","[8, 4, 3]",,,,0,0,373,2829.6919152114,5314.69580078125,5314.69580078125,1.025199667,0.9348049088,0.962275374,1.005486668,1.012489457,0,0,0,0.0533312515
3,,Former rubber tree plantations which will be restored using the framework species method.,Tree Nation,2022-05-24 11:49:36+00:00,203,921,3.17890244570745,19500,https://tree-nation.com/projects,"{""type"":""Polygon"",""coordinates"":[[[98.9835443109699,7.898967523557863],[98.98750401313998,7.898829274242531],[98.98774928336653,7.899743409982086],[98.98769576213519,7.901375456428406],[98.98413293123856,7.900809173905224],[98.9835443109699,7.898967523557863]]]}","[4, 8, 5]",,,,0,0,0,0,0,0,0.1023017966,0.08117661103,0.1023017966,0.06080170397,0.1023017966,0,0,0,0.00620000708
4,,Former rubber tree plantation which will be restored using the framework species method,Tree Nation,2022-05-24 12:20:48+00:00,203,922,0.807627826302847,16500,https://tree-nation.com/projects,"{""type"":""Polygon"",""coordinates"":[[[98.97503635661026,7.910739568675338],[98.9764097467615,7.910864399518575],[98.97640089806453,7.9113103692940205],[98.97640089806453,7.911733952604953],[98.97723023597268,7.911849858770722],[98.97724363556952,7.912286886269803],[98.97712767435404,7.912273515943574],[98.97538861369006,7.912108549206012],[98.97514338192009,7.912099606369878],[98.97503635661026,7.910739568675338]]]}","[8, 4, 5]",,,,0,0,0,1903.36658207912,83.358984375,83.358984375,0.02227077284,0.02454925842,0.02339959869,0.02126005018,0.02189218456,0,0,0,0.001771381836
5,,Former rubber tree plantation which will be restored using the framework species method,Tree Nation,2023-04-17 05:50:34+00:00,203,1104,16.2562845667928,34780,https://tree-nation.com/projects,"{""type"":""Polygon"",""coordinates"":[[[99.02238310345679,7.7548538431304035],[99.0243896644903,7.748241048495412],[99.02518341525365,7.7484773109684895],[99.02558025145744,7.748646785140558],[99.02621345639638,7.749329019306113],[99.02711870623963,7.749806177696104],[99.02792133883851,7.749966708317327],[99.02834045155082,7.750189676105705],[99.02873730358048,7.750622182149284],[99.02930366024066,7.751197412599468],[99.02988334515067,7.751603155359593],[99.03114080542986,7.752156080709682],[99.03223324605256,7.752209642867072],[99.03381180467244,7.753208409215301],[99.03304040018136,7.75380149550981],[99.03255430198602,7.754283125218681],[99.03201027022571,7.754506059311834],[99.0313771032591,7.754216194630452],[99.03098023799959,7.754109221842206],[99.03053884790714,7.754238517558313],[99.03008843690031,7.754314279928574],[99.02937947273354,7.754238460937519],[99.02892012940917,7.754069081138871],[99.0284252019766,7.754015534780863],[99.02808181573766,7.754176047921748],[99.02775183915638,7.75462196472219],[99.02750214401699,7.754853818778873],[99.02614211623397,7.75509908685717],[99.02536623287513,7.7547914041395005],[99.02507640642665,7.754938559208151],[99.02449675671346,7.755674330716764],[99.02238310345679,7.7548538431304035]]]}","[8, 3, 10]",,,,0,0,1.894117647,26433.3016810279,,,0.2012307187,0.1755986434,0.2313208003,0.2331901354,0.1673534789,0.004430093018,0,0,0.0100172214
6,,Former rubber tree plantation which will be restored using the framework species method,Tree Nation,2023-09-03 08:02:27+00:00,203,1159,0.231219419000041,4800,https://tree-nation.com/projects,"{""type"":""MultiPolygon"",""coordinates"":[[[[98.80562623103906,8.049341819109738],[98.80563068777643,8.049373038963658],[98.8056173175651,8.049346295837324],[98.80562623103906,8.049341819109738]]],[[[98.80562623103906,8.049341819109738],[98.80596511198794,8.049163459115324],[98.8058669793127,8.048998441248987],[98.80596956874477,8.048927096845775],[98.80598739577468,8.048815626937662],[98.8061657503891,8.048815669576223],[98.8062683402164,8.048940458045026],[98.80636193252968,8.049052007245994],[98.80643778190867,8.049279392795123],[98.8065090904834,8.049439877690856],[98.80660276717767,8.04969407652037],[98.80651354727148,8.049747581475657],[98.80629508086581,8.049818943750301],[98.80596511198794,8.049939345162953],[98.80591608767965,8.04989474306063],[98.80577784434256,8.049658394224162],[98.80562623103906,8.049341819109738]]]]}","[4, 2, 8]",,,,0,0,91.16862745,123.608909936045,,,0,0,0,0,0,0,0,0,0
7,,"The restoration area is located on a lowland mangrove forest on the Biak Island near the village of Mnurwar (Papua province), an area recognized as the global center of marine biodiversity and a global priority for conservation.


20.000 trees/ha. Ha: 66",Tree Nation,2021-11-23 16:02:42+00:00,310,806,2.50647305375662,150000,https://tree-nation.com/projects,"{""type"":""Polygon"",""coordinates"":[[[136.34533096735095,-1.1048091741661619],[136.34579912241253,-1.106075554053304],[136.3469584768287,-1.107083332867927],[136.34891155937066,-1.1082203849301715],[136.35103857667508,-1.1087554952431364],[136.35185011327212,-1.1075559533038837],[136.35279548319414,-1.1040377662969563],[136.3536962149577,-1.102878402118168],[136.35391027295077,-1.1015495560962802],[136.35241195978287,-1.0993601548170564],[136.35013782041963,-1.0986734389230495],[136.34914792261338,-1.099489440324916],[136.34704770411525,-1.1018483471737128],[136.34533096735095,-1.1048091741661619]]]}","[11, 6, 10]",,,,0,0,0,0,0,0,0.09680175581,0.08498589001,0.0918174313,0.08358032388,0.08179620251,0,0,0.06264750413,0.005373396424
8,,"This site is located on the small Padaidori island to the East of the Biak Island. The island was severely damaged by the 1996 Irian Jaya earthquake and subsequent tsunami, which laid waste to many coastal mangrove buffers.

10.000 trees/ha. 55.5",Tree Nation,2021-11-23 16:12:14+00:00,310,807,1.96725178682962,231095,https://tree-nation.com/projects,"{""type"":""Polygon"",""coordinates"":[[[136.59824219466265,-1.1647350334717632],[136.59860342425318,-1.166197591727779],[136.5990359467974,-1.1669467467220984],[136.59940159644466,-1.1670314767762828],[136.60002144126702,-1.1674417122263632],[136.6003201466905,-1.1685564745034553],[136.60118073733454,-1.1698407033297442],[136.60141713198266,-1.1696088339368376],[136.60180060430605,-1.168471757031902],[136.60246948069332,-1.168364717190067],[136.60259875417603,-1.1691361688461661],[136.60386067817882,-1.167762743801647],[136.6052341081075,-1.16589441904557],[136.60540797853173,-1.1651006573752942],[136.60579597003343,-1.1645655639190406],[136.6060278245431,-1.163276893292836],[136.6059876491049,-1.1622512922171648],[136.60547044841766,-1.1609224842839512],[136.6045919774426,-1.1601912136093255],[136.60390526659802,-1.159825563667211],[136.6034326019548,-1.159763157332032],[136.60326315306702,-1.160039581447797],[136.6034771899907,-1.1602580965850184],[136.6034326019548,-1.16053454780308],[136.60302682323197,-1.1607084387007647],[136.6022955469525,-1.1608555986716904],[136.60062341545867,-1.1612435805702608],[136.59894677871927,-1.1623137590451058],[136.59929013555336,-1.1626927568075283],[136.59873276126925,-1.1641107402970001],[136.59948635103197,-1.1640260152362811],[136.60015070839412,-1.1636603702087271],[136.60169355254487,-1.1629736860623345],[136.60163116097166,-1.1642801978284973],[136.60306699628174,-1.1651185007876719],[136.60298223559934,-1.1654172990269125],[136.60242489355974,-1.1650739311802427],[136.60141713198266,-1.1648599124469812],[136.60012841586047,-1.1652879673733763],[136.59899136273836,-1.1653102728245097],[136.59875505317797,-1.164926778450756],[136.59824219466265,-1.1647350334717632]]]}","[10, 11, 12]",,,,0,0,0,0,0,0,0.01447246816,0.01113913943,0.01310548664,0.01405886853,0.01595511511,0,0,0.07686643079,0.00041
9,,The project provides suitable trees for local landowners to replenish their hedgerows or replace wire fencing. Trees will be planted by community members along public footpaths. Planting sessions will contribute to upholding vital community links.,Tree Nation,2021-04-07 09:13:07+00:00,391,710,4.75457942093203,6500,https://tree-nation.com/projects,"{""type"":""GeometryCollection"",""geometries"":[{""type"":""LineString"",""coordinates"":[[-5.990878070022446,54.98520184464745],[-5.990855774517179,54.98517509004113]]},{""type"":""Polygon"",""coordinates"":[[[-5.991827840681054,54.986343334281045],[-5.991810067875258,54.98630768455314],[-5.9917832631611,54.98627652943059],[-5.991827840681054,54.986343334281045]]]},{""type"":""Polygon"",""coordinates"":[[[-5.9917832631611,54.98627652943059],[-5.991644991056485,54.986066891150934],[-5.991591539980928,54.9859866053869],[-5.991364135856944,54.98574137907542],[-5.991274915771671,54.985616546374224],[-5.990878086172718,54.98520185529155],[-5.9917832631611,54.98627652943059]]]},{""type"":""Polygon"",""coordinates"":[[[-5.991827840681054,54.986343334281045],[-5.992296113281474,54.98728873902955],[-5.992617145966403,54.987636484612196],[-5.992692891225952,54.98812700226789],[-5.993058597376877,54.98866657223844],[-5.99290695683186,54.989406797747385],[-5.990218066098613,54.992545955027786],[-5.9963315217294335,54.99433406090137],[-5.997927885872464,54.99547560929476],[-6.00242711271497,54.99688025991896],[-6.0070066649997775,54.998632634936406],[-6.009316491254268,54.99848550631352],[-6.012317412978171,54.99725482536734],[-6.011242775112148,54.994967287021645],[-6.013195836733853,54.99273769019999],[-6.015884717995061,54.98955836476894],[-6.015260443087474,54.98895192442317],[-6.0155725252233365,54.98750723028449],[-6.013227084551793,54.98712369063818],[-6.01161293295935,54.98691414477356],[-6.010747856980809,54.98838566864198],[-6.010542694403536,54.988626461549885],[-6.010208292013133,54.987953107744126],[-6.008513866150698,54.987716782434184],[-6.0061103165327365,54.98761419746613],[-6.005829378776498,54.9861694447995],[-6.0086431064419825,54.98446606787915],[-6.008620786542549,54.98409600495295],[-6.008281950430493,54.9840424963107],[-6.007514933053038,54.982388186791816],[-6.008250715928777,54.981732638312074],[-6.007800320592946,54.98086760537746],[-6.004999997018472,54.978932379877634],[-6.005356757692539,54.97769715269157],[-6.002074896430918,54.975672731850075],[-5.996157676664396,54.974433100024875],[-5.995172244469646,54.97401843847505],[-5.99235403170316,54.97277435902307],[-5.991181338058285,54.973643845034665],[-5.9898836989514255,54.9728456898427],[-5.982196246037532,54.96859167745888],[-5.982784837725188,54.967182594190184],[-5.977973407785495,54.96553723629623],[-5.975574477103109,54.96514034974863],[-5.974673737098536,54.96439564430057],[-5.972809747044628,54.963584131767206],[-5.9705892146219535,54.96297768265822],[-5.969483347035209,54.96434660297957],[-5.967436611131265,54.96724056227342],[-5.963891606541374,54.971039721090726],[-5.963664165974231,54.971570413800656],[-5.964636204274345,54.971953824651756],[-5.9697196060975495,54.972248161904],[-5.975115190291254,54.973853458226266],[-5.976038157882947,54.97380881036143],[-5.976756086323201,54.974384042040676],[-5.977986810273021,54.97507969931672],[-5.978263237738742,54.97534721263847],[-5.978878673204137,54.97566382849486],[-5.979476208496488,54.976274760207254],[-5.978905395225152,54.97660911610369],[-5.976791738043362,54.975650477709515],[-5.975837514111674,54.97577974704594],[-5.97646176314035,54.97687225406125],[-5.977193084048082,54.97797367525481],[-5.978058136483465,54.97924000623282],[-5.980853987869248,54.97871834301019],[-5.98233439883378,54.97891004170943],[-5.9840734566204805,54.97963244034997],[-5.985558379056885,54.98062233617797],[-5.987921698025688,54.98250852663286],[-5.989674166050665,54.98392656544012],[-5.9908557658857235,54.98517511882507],[-5.990726452624072,54.98501008641987],[-5.990610517570552,54.984831741287834],[-5.991546912734629,54.98592866060702],[-5.991591539980928,54.9859866053869],[-5.991609379307158,54.98600892344555],[-5.991644991056485,54.986066891150934],[-5.991925941645017,54.986450352313945],[-5.992015179224314,54.986628751640225],[-5.991827840681054,54.986343334281045]],[[-5.992166785947904,54.986936431099416],[-5.992037469819871,54.98666443171981],[-5.992015179224314,54.986628751640225],[-5.992166785947904,54.986936431099416]]]}]}","[4, 5, 6]",,,,1,2.499273907,25410.10588,0,0,0,0.3808556104,0.3595864835,0.3445575163,0.3327788418,0.345204083,0,0,0,0.02312551191
