"ID","type","slug","title","content","excerpt","long_excerpt","short_excerpt","link","featured_image","author","publish_date","date","button","map","address","coordinates","country_image","info"
7396,"project","mwanza-2","Mwanza 2","","","","","https://trees.org/project/mwanza-2/","","","15 Feb 2024","2024-02-15","https://trees.org/project/mwanza-2/, Read more, _self","7JGG+96 Kabila, Tanzania, -2.72407, 33.62559, 3, GhIJJR5QNuXKBcARMVpHVRPQQEA, Kabila, Mwanza Region, Tanzania, TZ","Kabila, Tanzania","-2.72407, 33.62559","5755, 5755, tanzia, tanzia.svg, 5868, https://trees.org/wp-content/uploads/2022/03/tanzia.svg, https://trees.org/tanzia/, tanzia, 1, , , tanzia, inherit, 0, 2022-03-31 00:52:17, 2022-03-31 00:52:17, 0, image/svg+xml, image, svg+xml, https://trees.org/wp-includes/images/media/default.png, 80, 81, https://trees.org/wp-content/uploads/2022/03/tanzia.svg, 80, 81, https://trees.org/wp-content/uploads/2022/03/tanzia.svg, 80, 81, https://trees.org/wp-content/uploads/2022/03/tanzia.svg, 80, 81, https://trees.org/wp-content/uploads/2022/03/tanzia.svg, 80, 81, https://trees.org/wp-content/uploads/2022/03/tanzia.svg, 80, 81, https://trees.org/wp-content/uploads/2022/03/tanzia.svg, 80, 81","Project Name: , Mwanza 2, Project Type: , Expansion, Started: , 2024"
7395,"project","mwanza-1","Mwanza 1","","","","","https://trees.org/project/mwanza-1/","","","15 Feb 2024","2024-02-15","https://trees.org/project/mwanza-1/, Read more, _self","8FHH+5F Buhumbi, Tanzania, -2.67202, 33.47873, 3, GhIJOBCSBUxgBcARms5OBke9QEA, Buhumbi, Mwanza Region, Tanzania, TZ","Buhumbi, Tanzania","-2.67202, 33.47873","5755, 5755, tanzia, tanzia.svg, 5868, https://trees.org/wp-content/uploads/2022/03/tanzia.svg, https://trees.org/tanzia/, tanzia, 1, , , tanzia, inherit, 0, 2022-03-31 00:52:17, 2022-03-31 00:52:17, 0, image/svg+xml, image, svg+xml, https://trees.org/wp-includes/images/media/default.png, 80, 81, https://trees.org/wp-content/uploads/2022/03/tanzia.svg, 80, 81, https://trees.org/wp-content/uploads/2022/03/tanzia.svg, 80, 81, https://trees.org/wp-content/uploads/2022/03/tanzia.svg, 80, 81, https://trees.org/wp-content/uploads/2022/03/tanzia.svg, 80, 81, https://trees.org/wp-content/uploads/2022/03/tanzia.svg, 80, 81, https://trees.org/wp-content/uploads/2022/03/tanzia.svg, 80, 81","Project Name: , Mwanza 1, Project Type: , Expansion, Started: , 2024"
7394,"project","singida-3-pif-2","Singida 3 PIF 2","","","","","https://trees.org/project/singida-3-pif-2/","","","15 Feb 2024","2024-02-15","https://trees.org/project/singida-3-pif-2/, Read more, _self","3VQQ+GM Mungaa, Tanzania, -4.911197, 34.889133, 3, GhIJbtqM0xClE8ARrmUyHM9xQUA, Mungaa, Singida Region, Tanzania, TZ","Mungaa, Tanzania","-4.911197, 34.889133","5755, 5755, tanzia, tanzia.svg, 5868, https://trees.org/wp-content/uploads/2022/03/tanzia.svg, https://trees.org/tanzia/, tanzia, 1, , , tanzia, inherit, 0, 2022-03-31 00:52:17, 2022-03-31 00:52:17, 0, image/svg+xml, image, svg+xml, https://trees.org/wp-includes/images/media/default.png, 80, 81, https://trees.org/wp-content/uploads/2022/03/tanzia.svg, 80, 81, https://trees.org/wp-content/uploads/2022/03/tanzia.svg, 80, 81, https://trees.org/wp-content/uploads/2022/03/tanzia.svg, 80, 81, https://trees.org/wp-content/uploads/2022/03/tanzia.svg, 80, 81, https://trees.org/wp-content/uploads/2022/03/tanzia.svg, 80, 81, https://trees.org/wp-content/uploads/2022/03/tanzia.svg, 80, 81","Project Name: , Singida 3 PIF 2, Project Type: , Replication, Started: , 2023"
7393,"project","tabora-1-pif-1","Tabora 1 PIF 1","","","","","https://trees.org/project/tabora-1-pif-1/","","","15 Feb 2024","2024-02-15","https://trees.org/project/tabora-1-pif-1/, Read more, _self","Mabama, Tanzania, -5.1230421, 32.5217164, 3, ChIJLZdPQUzdthkRAJtaIPe9t98, Mabama, Mabama, Tabora Region, Tanzania, TZ","Mabama, Tanzania","-5.1230421, 32.5217164","5755, 5755, tanzia, tanzia.svg, 5868, https://trees.org/wp-content/uploads/2022/03/tanzia.svg, https://trees.org/tanzia/, tanzia, 1, , , tanzia, inherit, 0, 2022-03-31 00:52:17, 2022-03-31 00:52:17, 0, image/svg+xml, image, svg+xml, https://trees.org/wp-includes/images/media/default.png, 80, 81, https://trees.org/wp-content/uploads/2022/03/tanzia.svg, 80, 81, https://trees.org/wp-content/uploads/2022/03/tanzia.svg, 80, 81, https://trees.org/wp-content/uploads/2022/03/tanzia.svg, 80, 81, https://trees.org/wp-content/uploads/2022/03/tanzia.svg, 80, 81, https://trees.org/wp-content/uploads/2022/03/tanzia.svg, 80, 81, https://trees.org/wp-content/uploads/2022/03/tanzia.svg, 80, 81","Project Name: , Tabora 1 PIF 1, Project Type: , Replication, Started: , 2024"
7392,"project","simiyu-6","Simiyu 6","","","","","https://trees.org/project/simiyu-6/","","","15 Feb 2024","2024-02-15","https://trees.org/project/simiyu-6/, Read more, _self","FJW6+3F Nyaluhande, Tanzania, -2.50484, 33.61122, 3, GhIJfLPNjekJBMARn1T7dDzOQEA, Nyaluhande, Simiyu Region, Tanzania, TZ","Nyaluhande, Tanzania","-2.50484, 33.61122","5755, 5755, tanzia, tanzia.svg, 5868, https://trees.org/wp-content/uploads/2022/03/tanzia.svg, https://trees.org/tanzia/, tanzia, 1, , , tanzia, inherit, 0, 2022-03-31 00:52:17, 2022-03-31 00:52:17, 0, image/svg+xml, image, svg+xml, https://trees.org/wp-includes/images/media/default.png, 80, 81, https://trees.org/wp-content/uploads/2022/03/tanzia.svg, 80, 81, https://trees.org/wp-content/uploads/2022/03/tanzia.svg, 80, 81, https://trees.org/wp-content/uploads/2022/03/tanzia.svg, 80, 81, https://trees.org/wp-content/uploads/2022/03/tanzia.svg, 80, 81, https://trees.org/wp-content/uploads/2022/03/tanzia.svg, 80, 81, https://trees.org/wp-content/uploads/2022/03/tanzia.svg, 80, 81","Project Name: , Simiyu 6, Project Type: , Expansion, Started: , 2024"
7391,"project","simiyu-5","Simiyu 5","","","","","https://trees.org/project/simiyu-5/","","","15 Feb 2024","2024-02-15","https://trees.org/project/simiyu-5/, Read more, _self","95P8+FG Nkololo, Tanzania, -2.61387, 34.16632, 3, GhIJ0_avrDTpBMAR21VI-UkVQUA, Nkololo, Simiyu Region, Tanzania, TZ","Nkololo, Tanzania","-2.61387, 34.16632","5755, 5755, tanzia, tanzia.svg, 5868, https://trees.org/wp-content/uploads/2022/03/tanzia.svg, https://trees.org/tanzia/, tanzia, 1, , , tanzia, inherit, 0, 2022-03-31 00:52:17, 2022-03-31 00:52:17, 0, image/svg+xml, image, svg+xml, https://trees.org/wp-includes/images/media/default.png, 80, 81, https://trees.org/wp-content/uploads/2022/03/tanzia.svg, 80, 81, https://trees.org/wp-content/uploads/2022/03/tanzia.svg, 80, 81, https://trees.org/wp-content/uploads/2022/03/tanzia.svg, 80, 81, https://trees.org/wp-content/uploads/2022/03/tanzia.svg, 80, 81, https://trees.org/wp-content/uploads/2022/03/tanzia.svg, 80, 81, https://trees.org/wp-content/uploads/2022/03/tanzia.svg, 80, 81","Project Name: , Simiyu 5, Project Type: , Expansion, Started: , 2024"
7390,"project","simiyu-4","Simiyu 4","","","","","https://trees.org/project/simiyu-4/","","","15 Feb 2024","2024-02-15","https://trees.org/project/simiyu-4/, Read more, _self","6VM7+H3 Mhango, Tanzania, -2.766, 33.86265, 3, GhIJVOOlm8QgBsARe_KwUGvuQEA, Mhango, Simiyu Region, Tanzania, TZ","Mhango, Tanzania","-2.766, 33.86265","5755, 5755, tanzia, tanzia.svg, 5868, https://trees.org/wp-content/uploads/2022/03/tanzia.svg, https://trees.org/tanzia/, tanzia, 1, , , tanzia, inherit, 0, 2022-03-31 00:52:17, 2022-03-31 00:52:17, 0, image/svg+xml, image, svg+xml, https://trees.org/wp-includes/images/media/default.png, 80, 81, https://trees.org/wp-content/uploads/2022/03/tanzia.svg, 80, 81, https://trees.org/wp-content/uploads/2022/03/tanzia.svg, 80, 81, https://trees.org/wp-content/uploads/2022/03/tanzia.svg, 80, 81, https://trees.org/wp-content/uploads/2022/03/tanzia.svg, 80, 81, https://trees.org/wp-content/uploads/2022/03/tanzia.svg, 80, 81, https://trees.org/wp-content/uploads/2022/03/tanzia.svg, 80, 81","Project Name: , Simiyu 4, Project Type: , Expansion, Started: , 2024"
7389,"project","simiyu-3","Simiyu 3","","","","","https://trees.org/project/simiyu-3/","","","15 Feb 2024","2024-02-15","https://trees.org/project/simiyu-3/, Read more, _self","9QV8+33 Nyamswa, Tanzania, -2.60727, 33.76521, 3, GhIJQLyuX7DbBMARPEm6ZvLhQEA, Nyamswa, Simiyu Region, Tanzania, TZ","Nyamswa, Tanzania","-2.60727, 33.76521","5755, 5755, tanzia, tanzia.svg, 5868, https://trees.org/wp-content/uploads/2022/03/tanzia.svg, https://trees.org/tanzia/, tanzia, 1, , , tanzia, inherit, 0, 2022-03-31 00:52:17, 2022-03-31 00:52:17, 0, image/svg+xml, image, svg+xml, https://trees.org/wp-includes/images/media/default.png, 80, 81, https://trees.org/wp-content/uploads/2022/03/tanzia.svg, 80, 81, https://trees.org/wp-content/uploads/2022/03/tanzia.svg, 80, 81, https://trees.org/wp-content/uploads/2022/03/tanzia.svg, 80, 81, https://trees.org/wp-content/uploads/2022/03/tanzia.svg, 80, 81, https://trees.org/wp-content/uploads/2022/03/tanzia.svg, 80, 81, https://trees.org/wp-content/uploads/2022/03/tanzia.svg, 80, 81","Project Name: , Simiyu 3, Project Type: , Expansion"
7388,"project","bariadi-1","Simiyu 2","","","","","https://trees.org/project/bariadi-1/","","","15 Feb 2024","2024-02-15","https://trees.org/project/bariadi-1/, Read more, _self","HH3V+223, Mwanangi Village, Tanzania, -2.447400336, 33.59267295, 3, ChIJV39L1J-6zRkRqFTnhJAyGdE, Mwanangi Village, Simiyu Region, Tanzania, TZ","Mwanangi Village, Tanzania","-2.447400336, 33.59267295","5755, 5755, tanzia, tanzia.svg, 5868, https://trees.org/wp-content/uploads/2022/03/tanzia.svg, https://trees.org/tanzia/, tanzia, 1, , , tanzia, inherit, 0, 2022-03-31 00:52:17, 2022-03-31 00:52:17, 0, image/svg+xml, image, svg+xml, https://trees.org/wp-includes/images/media/default.png, 80, 81, https://trees.org/wp-content/uploads/2022/03/tanzia.svg, 80, 81, https://trees.org/wp-content/uploads/2022/03/tanzia.svg, 80, 81, https://trees.org/wp-content/uploads/2022/03/tanzia.svg, 80, 81, https://trees.org/wp-content/uploads/2022/03/tanzia.svg, 80, 81, https://trees.org/wp-content/uploads/2022/03/tanzia.svg, 80, 81, https://trees.org/wp-content/uploads/2022/03/tanzia.svg, 80, 81","Project Name: , Simiyu 2, Project Type: , Expansion, Started: , 2022"
7387,"project","busega-1","Simiyu 1","","","","","https://trees.org/project/busega-1/","","","15 Feb 2024","2024-02-15","https://trees.org/project/busega-1/, Read more, _self","9R46+GQ Nyamswa, Tanzania, -2.643680978, 33.81199081, 3, GhIJ3nNgOUImBcARkVOFUO_nQEA, Nyamswa, Simiyu Region, Tanzania, TZ","Nyamswa, Tanzania","-2.643680978, 33.81199081","5755, 5755, tanzia, tanzia.svg, 5868, https://trees.org/wp-content/uploads/2022/03/tanzia.svg, https://trees.org/tanzia/, tanzia, 1, , , tanzia, inherit, 0, 2022-03-31 00:52:17, 2022-03-31 00:52:17, 0, image/svg+xml, image, svg+xml, https://trees.org/wp-includes/images/media/default.png, 80, 81, https://trees.org/wp-content/uploads/2022/03/tanzia.svg, 80, 81, https://trees.org/wp-content/uploads/2022/03/tanzia.svg, 80, 81, https://trees.org/wp-content/uploads/2022/03/tanzia.svg, 80, 81, https://trees.org/wp-content/uploads/2022/03/tanzia.svg, 80, 81, https://trees.org/wp-content/uploads/2022/03/tanzia.svg, 80, 81, https://trees.org/wp-content/uploads/2022/03/tanzia.svg, 80, 81","Project Name: , Simiyu 1, Project Type: , Expansion, Started: , 2022"
