,type,geometry.type,geometry.coordinates,properties.id,properties._scope,properties.allowDonations,properties.classification,properties.countPlanted,properties.countTarget,properties.country,properties.currency,properties.fixedRates,properties.image,properties.isApproved,properties.isFeatured,properties.isPublished,properties.isTopProject,properties.location,properties.minTreeCount,properties.name,properties.paymentDefaults.fixedTreeCountOptions,properties.paymentDefaults.fixedDefaultTreeCount,properties.purpose,properties.reviewScore,properties.reviews,properties.slug,properties.taxDeductionCountries,properties.tpo.image,properties.tpo.address.zipCode,properties.tpo.address.country,properties.tpo.address.address,properties.tpo.address.city,properties.tpo.name,properties.tpo.id,properties.tpo.email,properties.tpo.slug,properties.treeCost,properties.unitCost,properties.description,properties.metadata.degradationCause,properties.metadata.longTermPlan,properties.metadata.mainChallenge,properties.metadata.motivation,properties.options,properties.paymentDefaults,properties.fixedRates.CHF,properties.metadata.actions,properties.metadata.benefits,properties.metadata.coBenefits,properties.metadata.ecologicalBenefits,properties.metadata.socialBenefits
0,Feature,Point,"[-49.5903, -9.2045]",proj_ezpAp1POh20dBnYpx0BjhU35,map,False,agroforestry,292.0,2000.0,BR,EUR,[],615ab70078ec3633181909.jpg,False,False,True,False,,1.0,Camp Farm of the Future,"[10, 25, 50, 100]",5.0,trees,0,[],farmofthefuture,"['DE', 'US', 'ES']",,7431 PD,NL,Wechelerweg 37,Diepenveen,Ecosystem Restoration Camps,tpo_CVDSvyFCih6tfc2RPKv95Vub,cristina@ecosystemrestorationcamps.org,ecosystem-restoration-camps,3.9,3.9,,,,,,[],,,,,,,
1,Feature,Point,"[-43.468833, -22.495032]",proj_ZCspL8JYmUu0OXcx6O73I1j0,map,True,other-planting,2800.0,1000000.0,BR,EUR,[],60831dba10cee659207819.jpg,True,True,True,True,"Miguel Pereira, Brazil",1.0,Forest restoration program,"[10, 25, 50, 100]",5.0,trees,0,"[{'pdf': '643d99c4cc8e4338499420.pdf', 'id': 'prev_rclwR7vIM014', 'issueMonth': '09-2021'}]",forest-restoration-program,"['DE', 'US', 'ES']",,26900-000,BR,"Estrada do Chaumiere, 1411, Javary",Miguel Pereira,Instituto Terra de Preservação Ambiental,tpo_CcWrEv6YlGaemyABY7d8CWys,mauricio.ruiz.branco@gmail.com,instituto-terra-de-preservacao-ambiental,5.87,5.87,,,,,,[],,,,,,,
2,Feature,Point,"[-1.979117, 8.2204420012607]",proj_nXBzA2sbX2tm1D75p7bfJ81Z,map,True,large-scale-planting,38670.0,10000000.0,GH,EUR,[],62cb6af8c8595401631303.jpg,False,True,True,False,Banpewa Ghana,1.0,Plant-for-the-Planet Ghana,"[5, 25, 50, 100]",4.0,trees,0,[],plant-for-ghana,"['DE', 'US', 'ES']",62cb709c0e5e6562156924.jpg,00233,GH,"147 Service Plot DTD,  Sakumono Flats – Lashibi.  Tema, Accra Ghana.",Accra,Plant-for-the-Planet Ghana,tpo_ST7Xx6h5h1AJnDydwxKd4XHz,mohammed.dannakabu@plant-for-the-planet.org,plant-for-the-planet-ghana,2.0,2.0,,,,,,[],,,,,,,
3,Feature,Point,"[104.791856, 20.700794]",proj_wMNVTLkRIZ4TcV8oi26wlRwN,map,True,agroforestry,107.0,100000.0,VN,EUR,[],610a7531a1c39609029288.jpg,False,False,True,False,,1.0,Vietnam - Mountains,"[10, 25, 50, 100]",5.0,trees,0,[],https-trees-trofaco-org-plantingsite-list-grid-country-vietnam,"['DE', 'US', 'ES']",,2300 S,DK,Hf Elmebo 28,Copenhagen,Tropical Farmer Connect,tpo_rawRbftRP309VI2KXXQ61Ntn,ceo@trofaco.org,tropical-farmer-connect-1,8.5,8.5,,,,,,[],,,,,,,
4,Feature,Point,"[-67.945206, 6.169667]",proj_vH52lGTvcjbCGKG4dINKsXJU,map,False,agroforestry,30024.0,212500.0,CO,EUR,[],5ed7f83dbdad4146839964.jpeg,False,False,True,False,"Vichada, Colombia",1.0,KardiaNuts - inclusive rural development in Colombia through the creation of a sustainable agroforestry system,"[10, 20, 50, 100]",5.0,trees,0,[],kardianuts-inclusive-rural-development-in-colombia-through-the-creation-of-a-sustainable-nut-based-agroforestry-value-chain,"['DE', 'US', 'ES']",5ece62b562334908479301.jpeg,8005,CH,Co/ Pakka AG Geroldstrasse 33,Zürich,Pakka Foundation,tpo_n1ngSNWanTfz4EuRMB0XSHzd,vanderlaan@pakkafoundation.org,pakka-foundation,13.55,13.55,,,,,,[],,,,,,,
5,Feature,Point,"[33.12409, 3.6103933999611]",proj_1Kf3YBRtxY7puQhuMms94MlA,map,False,managed-regeneration,63943.0,120000.0,UG,EUR,[],5fe24729c05b4955256074.jpeg,False,False,True,False,"Madi Opei, Kitgum District, Uganda",1.0,Magic to Uganda II,"[1, 1, 1, 1]",1.0,trees,0,[],magic-to-uganda-ii,"['DE', 'US', 'ES']",60b62d20e0b43439805777.png,74348,DE,Siedlerstr. 13,Lauffen,Magic to the World e.V.,tpo_ft9253KsSBrp9VfJ0YOGLWwW,magictotheworld@gmail.com,magic-to-the-world-e-v,0.4,0.4,,,,,,[],,,,,,,
6,Feature,Point,"[35.0, -18.382160204996]",proj_1fYkuEszMqU7ryjrlEhqpkdA,map,True,mangroves,533976.0,10000000.0,MZ,EUR,[],5f7de54941c95283741207.jpeg,False,False,True,False,Mozambique,2.0,"Eden Reforestation Projects - Djabissa, Mozambique","[10, 25, 50, 100]",5.0,trees,0,[],eden-reforestation-projects-mozambique,"['DE', 'US', 'ES']",5cae3e3395e52084699403.jpeg,91741,US,303 W Foothill Blvd. Unit 13,Glendora,Eden Reforestation Projects,tpo_4DeNcQv0Dn8bFAm12PlY8zec,info@edenprojects.org,eden-reforestation-projects,0.14,0.14,,,,,,[],,,,,,,
7,Feature,Point,"[-113.70259, 47.339112]",proj_EnErCebV90R97Uv2WbGVhB15,map,False,large-scale-planting,14700.0,14700.0,US,EUR,[],6373e55f3beea008162305.jpg,False,False,True,False,"Flathead National Forest, Montana",2.0,Whitebark Pine Restoration (Montana and Oregon),"[10, 25, 50, 100]",5.0,trees,0,[],northern-rockies-whitebark-pine-restoration,"['DE', 'US', 'ES']",,20005,US,1220 L St NW Ste. 750,Washington,American Forests,tpo_oR8JJGUsx2g5w7JbEl32gaGp,sschmid@americanforests.org,american-forests,0.0,0.0,,,,,,[],,,,,,,
8,Feature,Point,"[33.41667, -13.002014968963]",proj_LMEDcuo62mrVMyEVmfes1g4h,map,False,large-scale-planting,30920.0,150000.0,MW,EUR,[],5f7cc051458a3437535587.jpeg,False,False,True,False,"Kasela, Kasungu",2.0,Saving Nyasaland Mahogany,"[5, 10, 25, 50]",2.0,trees,0,[],saving-nyasaland-mahogany-gps-validated,"['DE', 'US', 'ES']",5d19d4edc6d42276439570.png,K78 P8F1,IE,"Eiscear Riada, Pettycannon, Lucan",Co. Dublin,Wells for Zoë,tpo_UTiLA0xghdjAnm8c35sT0Mhc,info@wellsforzoe.org,wells-for-zoe,0.39,0.39,,,,,,[],,,,,,,
9,Feature,Point,"[32.36515, 3.11538]",proj_z4VFz8QZq2suDRaydA14xYsO,map,True,managed-regeneration,834.0,50000.0,UG,EUR,[],6082602501965005649250.jpeg,False,False,True,False,,0.0,Trees for Girls Education,,,trees,0,[],treesforgirlseducation,"['DE', 'US', 'ES']",,93108,US,801 Cold Spring Road,Santa Barbara,African Women Rising,tpo_n1WRYG6D3p1tXKV3hrYjjjuF,linda@africanwomenrising.org,african-women-rising,3.0,3.0,,,,,,[],,,,,,,
